,title,lyrics,artists,artistsFromList,date,rank,cnt
Right there on that stand where my niggas gon' lie at (lie)
You got bustas runnin' with you 'cause you allow that
When that smoke detector go off, boy where your fire at? (Fire at)

[Verse 32: Rich The Kid]
You don't run it (what?)
Ayy, pull out the choppa he runnin' (grra)
Ooh, more smoke than a chimney (woo)
Like pussy nigga, you don't want it (bitch)
They takin' yo' money and split it (split it)
Callin' your girl she with it (she with it)
I just might fuck on Brittany (Brittany)
Too much internet talk gon' get me (get me)
You niggas can't be serious (serious)
I know you a pussy like periods (pussy)
Promoters keep callin' to book me, I need me a 50 like period (brr)
How much of that check is you gettin' when Drama he takin', I'm curious (ha)
You ain't a boss, ain't richer than me, you must be delirious (rich)
Make it rain then I leave (I leave)
Bentley truck but you leased it (skrrt)
AP make you seasick
Lil Uzi he's a big bitch (bitch)
Wrist cost eighteen hunnid
You signed a 360, gettin' no money
This rap shit funny (ha)
The gang get you for a lil' bit of nothing

[Bridge: Blac Youngsta & Rich The Kid]
And um, and and and
I'm on whatever a nigga wanna be on, you know (all the smoke)
We won't, we won't doin' all that motherfuckin' talkin' (know what I'm sayin'?)
And shit, no talk shit out bitch, hah ooh (bitch ass nigga, hoe ass nigga)
Yea, you know
Tell that shit to God
Ion wanna hear it (my gang up again, nigga)
Who run it?
M-town shit nigga ('round me)
Nah sayin'?
You know, everybody in the M got some stripes, nigga (know what I'm sayin'?)
You know we all gangstas
You know even the bustas will, the bustas will shoot some nigga
You know what I'm sayin', you would be a straight bitch (know what I'm sayin'?)
Yea my stick gonna hit, you know (you heard that, straight bitch)
But it's gangsta shit over here where we at nigga
South Memphis, [?] back killin' [?] (you dig?)
Cash Gang, CMG
Hold on, hold on, ayy, ayy
'Fore you cut this shit off, I just wanna say
Shout out to all the bad bitches in my city
Nah sayin'?
You know Memphis we got some bad bitches they gutter though
Real shit on my mama

[Chorus: DJ Paul]
These bitches ain't runnin' (runnin'!), shit but y'all mouth
Cause the first hater step, the first hater get tossed out
These bitches ain't runnin' (runnin'!), shit but y'all mouth
Cause the first hater step, the first hater get tossed out
These bitches ain't runnin' (runnin'!), shit but y'all mouth
Cause the first hater step, the first hater get tossed out
These bitches ain't runnin' (runnin'!), shit but y'all mouth
Cause the first one a' y'all step, the first one I'm'a toss out

[Skit]
1: Nigga, I ain't telling you shit!
2: Nah, nah nah
1: I fucking told you!
2: [?]
1: Nigga, fuck you!
2: Look, look, look, look, look, look, look, lemme ask you this last question right her
1: Nah, I fucking told you
2: Lemme ask you this shit. Why do you keep tellin' everybody you're the greatest rapper alive?
1: Cause I fuckin' am

[Verse 33: Dax]
Had to come here and enlighten
Had to come give you the facts, trapping is wack
You might get a stack
Your daughter at home, your mama still crying
Blacks in America dying
Trump in office, he wildin'
Droppin these bars for fun, we going to war
But look at the timing, buying
They put me in chains, confined me
I'm rapping the real but can't get a deal
These niggas is not replying
Why the system be falsifying?
They say that I might be crazy
They say that my shit too real
The reason that they cannot play me
Industry cannot detain me
A cross of Pac and Baby
I've been to hell and back, that's why they say they cannot save me
Ain't poppin' no pills, I stay in the field
These niggas is fakes, they mad that I'm real
I see that you broke, don't know how that feel
You gave up your life by signin' a deal
Might shout out to Kaep for taking a kneel
Might shout out to Jag for rappin the real
My bars is guns, they can't conceal
These niggas dumb
Not a rapper, I be in my own division
Save the world by 2020, nigga I be on a mission
I just started and I'm right exactly where I had envisioned
Niggas blind, that's why I rap, to clear their motherfucking vision
Fucking on the game
Fucking on you bitches who've been fucking for the fame
I've be getting rich and dodging niggas who ain't changed
Tried to tell my shooters, had to read [?] out the chain
With a bitty lil name, lil nigga you ain't gang
You not, circle small, like a dot
Keep it tight 'cause people like to come and try and make you fall
I've seen it all, it's fine
They'll try and stop your shine
They snakes, still smile up in your face but talk that shit behind, behind
I seen it all baby, watch out for these snakes in the grass
They sayin' just enough to your face to keep you happy
That way in case you do make it, they can say they been there
Ayy DJ cut the beat, cut the beat

[Bridge: Dax]
Hip hop is not dead and never left
It's just a book collectin' dust I found on the shelf
I don't care if you wanna read it or anybody else
'Cause I'll turn myself to Jesus and resurrect it myself

[Verse 34: 6ix9ine]
Yo, I usually don't do this
But you know what I'm saying
Had to come body bag this one time
Niggas really thought I was in jail or something
Momma didn't raise no hoe or something
I was really in the store bought a Snickers or something
I - I was trapping in the-in the way back and I got that
And I flip that and I really get that
But I told my mom ""I don't do that!""
But she was really there
And I told her that ""Yeah, I'm coming in,""
But she was like, ""Nah, don't come near""
And I was like, ""GED""
And I said, ""I flip that, really get that""
I whip that and I hit that and I-yeah
LA see you next week, Coachella I'm here today
But fuck that we here and we live wit' TR3YWAY
Fuck that umm
Cut it

[Verse 35: Futuristic]

[Verse 36: BlocBoy JB]
Pulled up with that stick, hey, nigga don't miss
Got your bitch, she on her knees, she gon' eat the dick
Smoking strong, that Hercules, you can't tell me shit
Thirty-four ounces of Barkley, Phoenix versus Knicks
Walk in this bitch with my stack out
Please don't run, I got the MAC out
This nigga just made me blackout
I'm 'bout to box him like Pacquiao (doon-doon-doon)
Kurt Angle, I'm making her tap out
Started by pulling them tracks out
This shit is facts now, you can get whacked now
Watch in your face, tell me how you gon' act now, bitch
Icy, that my jewels, kick shit like kung fu
Four hundred rounds in the Rover, nigga who are you?
Put the car in cruise, and let off forty-two
You know I'm riding with my dog, just like Scooby-Doo
Riding with my motherfuckin' dogs, bruh
You ain't got no money, I can't call you
Put two up in your back, John Wall you
All this purple on me homie, I'm a baller
Crip, crip, crip, crip, crip, crip crip crip
Hey, hey, hey, hey, hey, hey, hey, hey
East side, east side, east side nigga that's C side
Who up on my side nigga, you know I'ma ride
If you play with my side, bitch it's homicide
Icy, that my jewels, kick shit like kung fu
Four hundred rounds in the Rover, nigga who are you?
Put the car in cruise, and let off forty-two
You know I'm riding with my dog, just like Scooby-Doo (crip)

[Chorus: DJ Paul]
These bitches ain't runnin' (runnin'!), shit but y'all mouth
Cause the first hater step, the first hater get tossed out
These bitches ain't runnin' (runnin'!), shit but y'all mouth
Cause the first hater step, the first hater get tossed out
These bitches ain't runnin' (runnin'!), shit but y'all mouth
Cause the first hater step, the first hater get tossed out
These bitches ain't runnin' (runnin'!), shit but y'all mouth
Cause the first one a' y'all step, the first one I'm'a toss out

[Verse 37: Key Glock]
I got gold gold on my throat, diamonds in my teeth (ice)
Clarity, clarity, clarity, clarity, all this ice on me (ice)
Got this bad bitch with blonde hair, I call her Russian Cream
And I got that baby chopper, I'll rock your ass to sleep
Can't stand me, take a seat (ho), designer head to feet, yeah
Everything on fleek, Cartier on me, yeah
I dress like a geek, yeah, boy your swag is weak, yeah
That shit is so cheap, yeah, my shit overseas, yeah
I'm fly like a butterfly and I sting like a bee, yeah
Call me Glock Ali, yeah, diamonds fighting like Tina
Turner, bitch I turn up, Royal Rumble
Thirty niggas with me and you know they ready to burn you
Knuck if you buck, run up and you get done up
No I'm not from Louisville, but bitch I keep my slugger
Straight up out the jungle, ain't no talk or tussle
Got no time to scuffle, I'm 'bout my chips like Ruffles
Workin like a butler, ain't no more struggle
Tell these niggas catch up, tennis chains mustard
Ran up my racks, run and tell that
Ran through a bag and got that shit right back
These niggas ain't doing shit, these niggas ain't talkin' jack
You niggas ain't running shit, this chopper make you run a lap
Yeah
Glizzock

[Verse 38: Ballout]
Who you think you ahead of? Not us
I'm in a truck called SRT or somethin'
Doin' Need for Speed or somethin'
Hundred thousand my key or somethin'
Two hundred my Jeep or somethin'
Niggas broke as hell actin' like they don't know how to eat or somethin'
Miami Beach Louis sandals, know I got my heat or somethin'
At the condo, you can't get in unless you got a key or somethin'
Smokin' out the 440 and it smoke a P or somethin'
Took the doors off, ridin' through Cali in my Jeep stuntin'
Long as they print money it's gon' keep comin'
I know you hear my Jeep runnin'
I ain't pumpin' gas, they gon' keep pumpin'
Ride through the hood and they keep honkin'
People look at me and they see money
I'm a boss, d-money
Load em' people up, my phone gon' keep jumpin'
They like ""Ball, is it weed or is it d-money?""
Bankroll like street money
Walk in Neiman's, leave the Hellcat and the Jeep runnin

[Verse 39: Chief Keef]
My bitch said she gon' leave me like she complete somethin'
Bitch, you [?] met you at 2:30 and fucked your ass at 3 somethin'
Who you run up on? Not us
I'ma take my own heat, shoot three or somethin'
Might be in the trap, call Jeep or somethin'
Might get Ball with a whole P or somethin'
Might be in SRT or somethin'
Krispy might make a bitch cream or somethin'
Cross that red line, get a beam or somethin'
Wake you up like you had a bad dream or somethin'
Who, Chief Sosa think he Rambo?
I was in the field with the lizard
Doing spinouts since the blizzard
Like Snoop Dogg ""What's the wiz-zard?""
Disappear on that bitch like a wizard
And I'm cuttin' real sharp like a scissor
Roll by so fast, Big Dipper
I'm in LA more than a Clipper
Balenciaga more than a owner
Bitch, we out here more than a corner
Smoke way more dope than a stoner
And I drink way more than Homer
I can see like Christopher Columbus
Juiceman, the trap house bunkin'
You niggas ain't talkin' 'bout nothin'
King Sosa don't care about nothin'
F on my shirt, on my feet double Gs
Start gettin' F's in sixth grade, couldn't even get a couple B's
All for my habit, whats the fee? A couple G's
Aye lil' bitch, these Moncler, no need to buckle these
Aye lil' baby, these not me, no need to upload these
And when you hear that [?], bitch that's me up your street
And just make you think about when they put that thing up your teeth
Lil' nigga said up yo chest talkin' to me, up your speech

[Verse 40: Chief Keef & Ballout]
Pullin' off from Neiman's doin' donuts in the Jeep
Track [?] Look like Black Hawk flying out the street
Hopped out for twenty minutes for a backend
Seen your girlfriends tryna get back in
Hopped in the Hellcat, had to put the track in
Ball, you got the blues, why the fuck you blackin'?
Ball, you can rap, why you steady trappin'?
'Cause I get it for the L-O like Shawty nigga, tap in
Sosa, why you pay a thousand for that headband?
Because Ben Franklin is a dead man
Any time you see me, wonder that's that bread man
If he step in front his gun, then that's a brave man

[Chorus: DJ Paul]
These bitches ain't runnin' (runnin'!), shit but y'all mouth
Cause the first hater step, the first hater get tossed out
These bitches ain't runnin' (runnin'!), shit but y'all mouth
Cause the first hater step, the first hater get tossed out
These bitches ain't runnin' (runnin'!), shit but y'all mouth
Cause the first hater step, the first hater get tossed out
These bitches ain't runnin' (runnin'!), shit but y'all mouth
Cause the first one a' y'all step, the first one I'm'a toss out

[Verse 41: Moneybagg Yo]
Pink and purple in my cup, I'm Lil Pump-in'
Trap jumpin' (like what, like what?)
Like some fingers, it's thumpin'
Who done it?
Pockets fat with bricks of hundreds, I'm Klump-in' (Sherman)
I run it
Headed to the top, like quickies I'm comin' (ugh ugh)
Bagg
Talkin' 'bout quickies, I'm comin'
Ugh ugh, yeah
2 Heartless, 2 Heartless, two of 'em
Get hit for lookin' suspicious (watch how you look)
Diamonds wet, they gon' wash the dishes
Sittin' in the coupe with the missus, Whitney
If you bad you can fuck her with me
I'm taking chances, risks (risks)
Learn how to dance, my wrist did (Breezy)
I'm like the Memphis Kendrick (Lamar)
I was broke, now I""m a rich kid (look at my shoes, watch me plug walk)
This new freezer cost right here sixty (sixty K, shout out to Icebox)
AP ring and watch Jordan Pippen (duo)
And you know I run this shit, pockets keep me limpin'
2 Heartless, 2 Heartless, two of 'em, yeah

[Verse 42: Skippa Da Flippa]
Flippa
I get trippy like three six
I just hit a bad bitch with my new bitch
I don't do Kel-Tec, FN can't miss
Souped up box Chevy came with a kill switch (kill out)
I stack bread, mister winners (stack it)
I drive a tank in the winter (kill 'em)
No L's, nigga I'm a winner
This year is not for beginners
These pair of [?] call 'em Sprinters
Seventy K for a new straight A
I'm havin' shooters, no mayday
Every day to me is more money Monday
And my neck is cold like I ate a sundae
Get up, stack the money, never switch up
A hundred for the Patty, know I stay lit up
I'm pushin' for greatness but I don't do sit-ups
And I love a bitch that can get my dick up
I been quiet but I can really start a riot
You can get it grilled or fried
Your favorite rapper be cappin' with lies
I call it burnt out and tied, therefore we don't have ties
Water on me, submarine
Break the pot, I cook up clean
What's the blue strip without greens
When it comes [?] I'm the king
I say I'm too blunt, I'm not mean
Good game from an old head, call him Sega
Ice talk crazy on the Razr
I keep it player, new crib got layers
It ain't 'bout paper, I'll talk to you later
I give you pimpin', but I stay drippin'
You small like a wiz then I ball like I'm Pippen
You be slippin', they call you Tristan
You tell the tea so I named you Lipton
Hundred bows, kicked a hundred doors
They cash me out then I bring a hundred more
New Rari came with Lambo doors
House in Berlin came with three stoves
She ride the dick, no Rodeo Drive
Hit you with a combo, you get two sides
Black excellence, I'm excellent
I bought the block back for the Nobel Prize
Pink slip shawty right now 'cause I'm on
You pop big shit now then it's on
Think smart, first get a call then a home
You don't need a loan, get a zone, get it gone
I'm on my ten flip now, get your own
AP two-tone freeze, honeycomb
I'm lightskinned, call me Kev Combs
And I get money, badda-bing badda-bom
I could count a whole hundred in your face
I got air, fuck a pair of human race
Walk in safe, look like a Chase
Dipped out my safe and it turned to a chase
You tryna be me, I bet you gon' fail
Big checks comin', now I check the mail
I'm thinkin' money, blue or green hundreds
House in the hills, it look like a whale's (whoa)
I could say somethin' but it ain't the time
It ain't on me if ain't mine, eliminate me with a lime
I got heart of a lion, if I said they ain't bitin' I'd be lyin'
Lowkey in a low-rider, I write mines, no ghostwriter
I be leanin' and lookin' for the new Spider
I'm on fire and my chains firefighter (Flippa)

[Verse 43: Cdot Honcho]
I paid a G for my sneakers bitch
These ain’t no regular Adidas, hah
Have fo'nem parked outside your shit
Like your shit an arena
I’m up on Hollywood Boulevard
Fo'nem with me, not a bodyguard
Try it, you know they be choppin' shit
Might turn this bitch to a lumberyard
I was the first one in SRT
And I drove that bitch like a bumper car
I got your bitch up on DVD
Ain’t got a heart, need another heart
Roc, he'll circle around your block
On point like he really can’t find a park
Pop out you only gon' see a spark
Police said they only seen a dart
I got ten K in my joggers, ayy
You don’t want problems
Five on your head, niggas gon' pop out your closet
Smokin' biscotti, too much gelato
Feel like I’m sitting on a rocket
Ain’t no more space in my pockets
Ain’t no more space in my closet either
I just be thinking 'bout profit
I'm in the coupe with a mamacita
She only good for the noggin
That bitch know she got a mouth on her
She eat me up then I’m out on her
No we don’t play with the police games
She know we put a route on her
Look I ain't shit, with another one
Nothing was given l ran it up, bitch

[Verse 44: Sauce Walka]
If I really want his body I'ma sleep in the grass
If I get my hands dirty I'ma wash 'em in gas
Get that gunpowder off me, roll a wood up, and laugh
'cause I'm really 'bout that murder, I'll smoke your ass
Pay a bitch to wrap you with a cord and choke your ass nigga
Yeah I could get on some evil shit
Rip out your heart like a demon shit
Send body parts to your people shit
Yeah I send your hands to your mama
I send your legs to your daddy
I send your eyes to your granny
I send your foot to your daughter
Fuck it, the label some horror
Fuck it, the label some saw
Granny playin' guitar, 'cause you ain't never ever comin' back no more
I got guns when it comes to the store
I got guns that you niggas can't order
I got guns that you never can borrow
I got guns that can still shoot good underwater
I got guns that can shoot through brick walls, I got guns that got night vision
I got guns that shoot hand grenades, I got handguns that hold fifty
I got guns with long barrels on 'em, look so ugly, shoot so pretty
I got guns in my bitch titties, moral is don't fuck with me
If it's an issue we see him 'bout it, if it's an issue we be about it
It ain't a question if we about it, it ain't a question if we about it
Master P, yeah I'm 'bout it 'bout it
'bout it 'bout it, 'bout it 'bout it, 'bout it
Ran up him with a shotty, ran up on him with a shotgun
Make him jump like a pop gun, let both kids play with pop guns
Like a needle I'ma pop somethin', like a football I'ma drop somethin'
Ooh-wee
Who done it? who done it?
Who done it? who done it? nigga
The kid done did, one and done nigga
Sorry for the Sauce 3
Who done it? who done it? me

[Chorus: DJ Paul]
These bitches ain't runnin' (runnin'!), shit but y'all mouth
Cause the first hater step, the first hater get tossed out
These bitches ain't runnin' (runnin'!), shit but y'all mouth
Cause the first hater step, the first hater get tossed out
These bitches ain't runnin' (runnin'!), shit but y'all mouth
Cause the first hater step, the first hater get tossed out
These bitches ain't runnin' (runnin'!), shit but y'all mouth
Cause the first one a' y'all step...

[Part II: Trouble - Bring It Back (Minimix)]
[Verse 1: Joey Trap]

[Pre-Chorus: Trouble]
Ounces in my mothafuckin' pantry (yeah)
Diamonds on a young nigga, dancin', yeah
Just dropped some bandos on some glasses, yeah
Just dropped your bitch off, man, that hoe so nasty
Huh, all about that paper, can't miss a beat, yeah
I'ma get some cho-cho, one thing 'bout me, yeah
Gossip all that hoe shit, miss me with that
I could put you frontline, just bring it back

[Chorus: Trouble]
Bring it back, bring it back, yeah
Bring it back, bring it back, bring it back, yeah
Don't wanna have to chase you down 'bout them stack
'Cause I will blow ya back, bring it back, this ho here throw it back

[Verse 2: Trouble]
Yeah, tryna show me that she 'bout it
'Bout it, 'bout it, yeah, shawty 'bout it, 'bout it, yeah
Take the charges prolly, shawty say she 'bout it
I gotta come for you, you shot at my lil' partner dem
The loud wild off the gate, don't need your molly
As a git, I used to get the candy from Mr. Charlie
Nowadays I ride a foreign by Mr. Charlie
I got the candy now, sorry Mr. Charlie
Aye, she say you so mothafuckin' hood
But you ain't no mothafuckin' good
Might be right, gift and a curse, I take it all as blessin'
Know you fuckin' with a real one though, no question (no doubt)
Partna you gon' get spent doin' all that flexin'
So many of us shootin' you straight, ain't no pressure
Hatin' on that man won't do you no blessin'
Tryna teach a young nigga flexin'
Wanna go to war, but you ain't got no money
Worry 'bout these hoes and you ain't got no money
Mike Will Made-It
Big Trouble, baby

[Pre-Chorus: Trouble]
Ounces in my mothafuckin' pantry (yeah)
Diamonds on a young nigga, dancin', yeah
Just dropped some bandos on some glasses, yeah
Just dropped your bitch off, man, that hoe so nasty
Huh, all about that paper, can't miss a beat, yeah
I'ma get some cho-cho, one thing 'bout me, yeah
Gossip all that hoe shit, miss me with that
I could put you frontline, just bring it back

[Chorus: Trouble]
Bring it back, bring it back, yeah
Bring it back, bring it back, bring it back, yeah
Don't wanna have to chase you down 'bout them stack
'Cause I will blow ya back, bring it back, it's on here, throw it back, damn

[Verse 3: Tyler, The Creator]
Ayo, Converse selling out they got their thumbs tied
Re-up on my deal, let's make it 1-5
And I ain't talking point, that gorilla if I point
He gon' get you, that's the point no lie
Hit the gas and we outta there (skrrt)
Like it's mountain wear, lately, I've been dolo in this bitch
Shoutout Solo, that's big sis, shoutout Frankie, that's big bro
Ya lil' homie running shit, no question
Casio the mothafuckin' watch
800 in a day, my boy, that's just one drop
Invest in stocks, that's the other plan
Two-story bed, I hit the running man
Baby boy, no photo, long sleeve, my polo
Casio, no Rolo', Parmesan, my bolo
VVS my necky, necky heavy flooded
We done broke them levees, anything for Fetti
But don't let it get to you, these niggas tripping
They shoe in the gutter, they gonna ruin their future shit that
They doing like, flexin' on the 'Gram about a bank deposit (hmm)
Yeah, that shit addicting, shit is hypnotizing (hmm)
Claiming that you rich, like, bitch we know you lying (yuh)
What yo backyard look like? What your mama driving?
Mane, call me flame, I'm lighting niggas I'm an animal, fuck is tame?
Young wild nigga, it's the WANG (it's them GOLF boys)
G boy, jeez boy, he that boy, boy, you a decoy (yuh)
Fuckboy, heard you want beef, bitch, you eat soy
Us and them and we ain't got time, bitch, I'm Pink Floyd, yuh
Sapphire's gelatin, niggas is repetitive
AmEx 'cause my pockets is what I can't fit my cheddar in
Sleeping on me, sedative, who these niggas better than?
Is the answer me? Hmm? Uh, no, negative, yuh

[Pre-Chorus: Trouble & Tyler, The Creator]
Ounces in my mothafuckin' pantry (yeah)
Diamonds on a young nigga, dancin', yeah
Just dropped some bandos on some glasses, yeah
Golf boys in this shit
Just dropped your bitch off, man, that hoe so nasty
Shout out to Trouble
Huh, all about that paper, can't miss a beat, yeah
Shout out to Drake, shout out to Mike WiLL
I'ma get some Cho-Cho, one thing 'bout me, yeah
Gossip all that hoe shit, miss me with that
I could put you front line, just bring it back

[Chorus: Trouble]
Bring it back, bring it back, yeah
Bring it back, bring it back, bring it back, yeah
Don't wanna have to chase you down 'bout them stack
'Cause I will blow ya back, bring it back, it's on here, throw it back, damn

[Verse 2: Drake & Trouble]
Yeah, I don't play no games boy, I'm at your head (at your head)
All about the family, niggas took the pledge (took that shit)
Now you gotta own up to that shit you said
You can't push us to the edge, Trouble from the edge
Hit the gas and we outta there
Do it for the six, because we started there (started)
I got a girl that used to ride around with 'Pac an' them ('Pac)
I gotta get it, you came from my lil partner then (fuck)
Yeah, Richard Mille, heavy on the watch (bitch)
Extra million just to see the Maybach drop (drop, drop)
Crest white smile on my face
Once I get to snappin' ain't nobody safe (nobody)
Reality gon' hit ya or we gon' hit ya
Either way if they was with ya, they goin' with ya
Mike WiLL Made-It (Mike WiLL)
Me and Big Trouble baby (DTE)

[Pre-Chorus: Trouble]
Ounces in my mothafuckin' pantry (yeah)
Diamonds on a young nigga, dancin', yeah
Just dropped some bandos on some glasses, yeah
Just dropped your bitch off, man, that hoe so nasty
Huh, all about that paper, can't miss a beat, yeah
I'ma get some cho-cho, one thing 'bout me, yeah
Gossip all that hoe shit, miss me with that
I could put you frontline, just bring it back

[Chorus: Trouble]
Bring it back, bring it back, yeah
Bring it back, bring it back, bring it back, yeah
Don't wanna have to chase you down 'bout them stack
'Cause I will blow ya back, bring it back, it's on here, throw it back

[Part III: BlocBoy JB - Look Alive (Megamix)]
[Intro: Drake, BlocBoy JB & Lil Juice]
Tay Keith, fuck these niggas up
Yeah, yeah (ooh)
Yeah (ooh)
6 God, BlocBoy, 6 God, BlocBoy (ooh) (word)
6 God, BlocBoy, 6 God, BlocBoy (ooh) (Blocboy, 6 God)
Yeah (hey)

[Chorus: Drake & BlocBoy JB]
901 Shelby Drive, look alive, look alive ('live)
Niggas came up on this side, now they on the other side (word, word, word)
Oh well, fuck 'em, dawg, we gon' see how hard they ride (huh, fuck 'em)
I get racks to go outside and I split it with the guys (outside)
We up on the other side, niggas actin' like we tied
I've been gone since, like, July, niggas actin' like I died
They won't be expectin' shit when Capo go to slide (hah)
'Cause I told them that we put that shit behind us but I lied (hah)

[Verse 1: Drake]
Ayy, ayy, look who I'm around, man
If I fucked up, I'ma be downtown, man
Fourth floor bound, man, that's if I get caught, man
Pushed me to the edge, so it really ain't my mothafuckin' fault
Man, I'm not to blame, man, this fuckin' industry is cutthroat
I'm not the same, man, and I could let you check the tag now
I'm rockin' name brand, I'm only chasin' after bags now
I got a game plan and I'm out here with the woo!

[Chorus: Drake & BlocBoy JB]
700, three high fives, look alive, look alive ('live)
Niggas came up on this side, now they on the other side (word, word, word)
Oh well, fuck 'em, dawg, we gon' see how hard they ride (huh, fuck 'em)
I get racks to go outside and I split it with the guys (outside)
We up on the other side, niggas actin' like we tied
I've been gone since, like, July, niggas actin' like I died
They won't be expectin' shit when Capo go to slide (hah)
'Cause I told them that we put that shit behind us but I lied (hah)

[Bridge: Joyner Lucas]
508 all on my side, they gon' ride, they gon' ride
Nigga, this a homicide, oh my god, oh my god
I said I was gon' retire, bitch I lied, bitch I lied
I ain't got no fucking job, this my life, this my, wait—

[Verse 2: Joyner Lucas]
All of y'all wishy and washy
All y'all my kids in a car seat
I take my dime to hibachi, we do 69 like Tekashi
Lyin' in the sand, too much time in your hands, I think I need to find you a hobby
God got a plan, hope that God hold your hand, I think I'm 'bout to catch me a body!
Tell all my teachers that I said I'm back on my G shit and I'm coming back to get even
I went on tour and got paid, now I'm back in the region, I let off this mac for no reason
You are now witnessing greatness, I'm practically preaching and this is the passion of Jesus
And all you basic motherfuckas are lacking achievement, and I've just been laughing and geekin'
Back to business, I got mad intentions, I ain't perfect, I done made some bad decisions
But it's competition, I'm a savage winning
You can have the digits, I'm a mathematician
I don't see you niggas, I've been lacking vision
You've been acting different, I've been acting distant
I'ma do some shit to bring me mad attention
You gon' do some shit that send me back to prison, whoa!
This is uncomfortable, you just keep putting your feet in a fire
I think my gun got a crush on you, boy, you 'bout to meet your secret admirer
How you do shit you don't wanna do? I do that shit just to keep me inspired
I used to hit it and leave when I wanted to, now I hit it and be sleepin' inside her, woo
Roll up on 'em when I pull up on 'em, put that motherfucking smoke up on 'em with that holy water
Joyner Lucas, I'm a holy mona leader motor runnin'
Man, too many niggas know about it, but I thought about it
Prayed about it to the Lord about it in the morning, but I gotta show 'em what it's all about and I'ma call 'em out
I ain't that nigga you could talk about, you better calm it down
Don't be tryna give me the runaround, I'ma shut 'em down god damn, wait

[Chorus: Drake & BlocBoy JB]
901 Shelby Drive, look alive, look alive ('live)
Niggas came up on this side, now they on the other side (word, word, word)
Oh well, fuck 'em, dawg, we gon' see how hard they ride (huh, fuck 'em)
I get racks to go outside and I split it with the guys (outside)
We up on the other side, niggas actin' like we tied
I've been gone since, like, July, niggas actin' like I died
They won't be expectin' shit when Capo go to slide (hah)
'Cause I told them that we put that shit behind us but I lied (hah)

[Verse 3: Rocky Badd]
Ayy, ayy
Look who I'm around man
A couple people switched, that's why you don't see 'em round man
Four four down man, know that that's a man down
I make bitches stand down then make them put they heads down
Only time you sendin' shots is when you sneak dissin'
Only time I'm on the block is when the bitches send chicken
I ain't trippin' on that nigga, he don't call unless it's business
I ain't trippin' on these bitches, once they eat they in they feelings
I ain't trippin' on no rapper that can't fight but in my business
Get to trippin' on that rapper, if she start I gotta finish
And if you fuck your niggas you can't call them boys your killers
'Cause they playin' with your feelings, mines ain't playin' with these niggas, haha
And I got shit they want but the shit they cannot buy
Bitches brazy on they Live but they barely go outside
I seen pussy in they eyes, I said fuck it, let' em slide
Told 'em I won't text these bitches, I just ho 'em, but I lied
I don't know why bitches tryin' while they funds lookin' tied
I can't trip because they lyin', let 'em take it up with God
These bitches plan winning, we gon' see how hard they grind
'Cause I push these bitches back every time I spit a line, haha

[Chorus: Drake & BlocBoy JB]
901 Shelby Drive, look alive, look alive ('live)
Niggas came up on this side, now they on the other side (word, word, word)
Oh well, fuck 'em, dawg, we gon' see how hard they ride (huh, fuck 'em)
I get racks to go outside and I split it with the guys (outside)
We up on the other side, niggas actin' like we tied
I've been gone since, like, July, niggas actin' like I died
They won't be expectin' shit when Capo go to slide (hah)
'Cause I told them that we put that shit behind us but I lied (hah)

[Verse 4: Myles Jacob]
[?]

[Chorus: Drake & BlocBoy JB]
901 Shelby Drive, look alive, look alive ('live)
Niggas came up on this side, now they on the other side (word, word, word)
Oh well, fuck 'em, dawg, we gon' see how hard they ride (huh, fuck 'em)
I get racks to go outside and I split it with the guys (outside)
We up on the other side, niggas actin' like we tied
I've been gone since, like, July, niggas actin' like I died
They won't be expectin' shit when Capo go to slide (hah)
'Cause I told them that we put that shit behind us but I lied

[Verse 5: Skepta]
Yeah, I put my life on the line, man
See I gotta die man, don't you even try, man
Enemies gon' bleed, once I let these bullets fly, man
Mama's gonna cry, man, I like to get motherfuckin' high
Man, you're not the guy, man
See me runnin' around the stage draggin' around a mic stand
Shout my nigga Greatness Dex, that's my fucking right hand
Thousand diamonds in my mouth, I'm the fucking Iceman
And you know I came in with the shhh!

[Chorus: Drake & BlocBoy JB]
901 Shelby Drive, look alive, look alive ('live)
Niggas came up on this side, now they on the other side (word, word, word)
Oh well, fuck 'em, dawg, we gon' see how hard they ride (huh, fuck 'em)
I get racks to go outside and I split it with the guys (outside)
We up on the other side, niggas actin' like we tied
I've been gone since, like, July, niggas actin' like I died
They won't be expectin' shit when Capo go to slide (hah)
'Cause I told them that we put that shit behind us but I lied

[Verse 6: Suspect]
Who's that nigga? (hey) Wooly Road hitters
Smoke on deck, heat on simmer
Ay, stay alive, stay alive (stay alive)
Stick on me right now, Skep I lie?
Think I'm just a rapper, they like ""Suspect is the guy""
'Cause they won't be expectin' it when we make gutter slide
Catch you pussy niggas by surprise
Niggas talkin' wet, now the wet is in his eye
Who am I? I get around, man, sicko with the pow, man
Reppin' for the South but, Wooly hood, my town man
Know how man get down, man
Hey, I built this shit right off the ground, man

[Chorus: Drake & BlocBoy JB]
700, three high fives, look alive, look alive ('live)
Niggas came up on this side, now they on the other side (word, word, word)
Oh well, fuck 'em, dawg, we gon' see how hard they ride (huh, fuck 'em)
I get racks to go outside and I split it with the guys (outside)
